ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8793103448275862,0.9868760437870062,0.8801576443947069,0.875574784167668,0.8709818686102245,0.8607265014842326
Decision Tree,0.9233716475095786,0.9712951575809013,0.9224438603004238,0.9221853342447514,0.9209186732493748,0.9109964944939286
kNN,0.8295019157088123,0.9575206965801712,0.8251541712770231,0.8219574930572822,0.801217468867706,0.8056279236257037
Naive Bayes,0.5268199233716475,0.8901449085961319,0.5747055719141299,0.5180450193799807,0.46388300312539604,0.4628653997330775
Random Forest (Ensemble),0.9521072796934866,0.9966754522349868,0.9530813636056905,0.9504343350030257,0.9511067802440467,0.9442467122885712
